timestamp,location,temperature,humidity,pm2_5,noise_level,water_usage
2024-12-14T20:45:01.985263Z,Quartier-3,24.41,48.14,489,73,9
2024-12-14T20:45:02.985263Z,Quartier-2,34.99,35.43,363,79,85
2024-12-14T20:45:03.985263Z,Quartier-1,27.19,42.62,203,46,81
2024-12-14T20:45:04.985263Z,Quartier-3,34.95,51.67,381,62,42
2024-12-14T20:45:05.985263Z,Quartier-1,29.13,46.02,96,65,38
2024-12-14T20:45:06.985263Z,Quartier-1,20.59,87.16,308,70,81
2024-12-14T20:45:07.985263Z,Quartier-3,33.94,70.97,398,32,51
2024-12-14T20:45:08.985263Z,Quartier-1,15.75,31.27,390,32,34
2024-12-14T20:45:09.985263Z,Quartier-1,25.29,36.38,265,59,91
2024-12-14T20:45:10.985263Z,Quartier-2,17.32,40.86,399,32,26
2024-12-14T20:45:11.985263Z,Quartier-1,29.32,83.13,382,46,91
2024-12-14T20:45:12.985263Z,Quartier-3,34.22,79.28,55,85,89
2024-12-14T20:45:13.985263Z,Quartier-3,34.7,52.95,111,84,68
2024-12-14T20:45:14.985263Z,Quartier-3,23.73,75.76,430,71,18
2024-12-14T20:45:15.985263Z,Quartier-2,17.44,79.86,490,66,18
2024-12-14T20:45:16.985263Z,Quartier-1,34.9,68.8,373,63,20
2024-12-14T20:45:17.985263Z,Quartier-3,33.68,81.3,323,49,87
2024-12-14T20:45:18.985263Z,Quartier-3,27.47,61.42,356,70,94
2024-12-14T20:45:19.985263Z,Quartier-2,19.99,41.48,72,32,97
2024-12-14T20:45:20.985263Z,Quartier-3,15.2,43.62,410,60,79
2024-12-14T20:45:21.985263Z,Quartier-3,31.82,32.41,119,39,4
2024-12-14T20:45:22.985263Z,Quartier-1,23.11,82.27,343,98,71
2024-12-14T20:45:23.985263Z,Quartier-1,20.63,64.73,372,77,70
2024-12-14T20:45:24.985263Z,Quartier-2,33.66,80.1,392,99,17
2024-12-14T20:45:25.985263Z,Quartier-3,24.66,71.06,240,59,21
2024-12-14T20:45:26.985263Z,Quartier-2,18.01,38.87,457,80,25
2024-12-14T20:45:27.985263Z,Quartier-3,27.79,43.44,306,30,98
2024-12-14T20:45:28.985263Z,Quartier-3,28.86,77.96,463,59,8
2024-12-14T20:45:29.985263Z,Quartier-3,18.15,41.67,258,56,54
2024-12-14T20:45:30.985263Z,Quartier-1,21.44,40.84,101,52,25
2024-12-14T20:45:31.985263Z,Quartier-2,15.81,51.99,491,44,29
2024-12-14T20:45:32.985263Z,Quartier-3,24.63,40.64,472,97,2
2024-12-14T20:45:33.985263Z,Quartier-3,18.97,46.79,43,37,7
2024-12-14T20:45:34.985263Z,Quartier-3,26.04,35.37,482,82,71
2024-12-14T20:45:35.985263Z,Quartier-3,23.1,64.23,206,100,99
2024-12-14T20:45:36.985263Z,Quartier-1,21.49,72.35,19,48,2
2024-12-14T20:45:37.985263Z,Quartier-2,24.86,69.62,419,34,49
2024-12-14T20:45:38.985263Z,Quartier-2,32.53,72.75,3,65,80
2024-12-14T20:45:39.985263Z,Quartier-3,15.71,79.87,301,53,29
2024-12-14T20:45:40.985263Z,Quartier-1,15.48,36.21,435,70,83
2024-12-14T20:45:41.985263Z,Quartier-3,18.53,43.11,133,72,97
2024-12-14T20:45:42.985263Z,Quartier-1,23.89,65.52,205,58,74
2024-12-14T20:45:43.985263Z,Quartier-2,25.51,38.1,329,65,46
2024-12-14T20:45:44.985263Z,Quartier-2,27.66,65.81,18,40,36
2024-12-14T20:45:45.985263Z,Quartier-1,25.84,47.55,317,39,54
2024-12-14T20:45:46.985263Z,Quartier-3,21.14,55.4,158,86,28
2024-12-14T20:45:47.985263Z,Quartier-2,25.86,36.57,476,88,10
2024-12-14T20:45:48.985263Z,Quartier-2,19.82,69.32,317,77,39
2024-12-14T20:45:49.985263Z,Quartier-2,20.17,40.93,381,42,13
2024-12-14T20:45:50.985263Z,Quartier-3,30.71,62.9,416,48,34
2024-12-14T20:45:51.985263Z,Quartier-2,24.68,38.38,21,82,59
2024-12-14T20:45:52.985263Z,Quartier-2,22.01,80.19,265,83,83
2024-12-14T20:45:53.985263Z,Quartier-1,23.13,83.06,23,42,37
2024-12-14T20:45:54.985263Z,Quartier-2,24.04,57.29,331,61,2
2024-12-14T20:45:55.985263Z,Quartier-1,30.72,87.0,274,45,15
2024-12-14T20:45:56.985263Z,Quartier-3,30.69,31.39,392,99,78
2024-12-14T20:45:57.985263Z,Quartier-2,25.57,59.18,63,90,91
2024-12-14T20:45:58.985263Z,Quartier-3,28.9,83.27,323,58,10
2024-12-14T20:45:59.985263Z,Quartier-1,23.87,59.05,97,54,16
2024-12-14T20:46:00.985263Z,Quartier-1,27.63,81.79,38,60,85
2024-12-14T20:46:01.985263Z,Quartier-1,26.36,36.1,432,95,36
2024-12-14T20:46:02.985263Z,Quartier-3,30.3,55.68,277,68,74
2024-12-14T20:46:03.985263Z,Quartier-1,32.43,57.59,476,57,93
2024-12-14T20:46:04.985263Z,Quartier-2,25.21,44.19,353,33,59
2024-12-14T20:46:05.985263Z,Quartier-2,20.22,49.97,421,90,63
2024-12-14T20:46:06.985263Z,Quartier-2,16.4,62.73,165,94,65
2024-12-14T20:46:07.985263Z,Quartier-2,25.37,50.02,451,71,24
2024-12-14T20:46:08.985263Z,Quartier-2,31.12,70.75,352,99,83
2024-12-14T20:46:09.985263Z,Quartier-3,23.74,61.31,72,84,33
2024-12-14T20:46:10.985263Z,Quartier-2,28.92,38.51,321,67,32
2024-12-14T20:46:11.985263Z,Quartier-1,26.04,35.69,29,89,45
2024-12-14T20:46:12.985263Z,Quartier-2,33.32,41.51,452,51,59
2024-12-14T20:46:13.985263Z,Quartier-2,32.19,72.27,253,42,61
2024-12-14T20:46:14.985263Z,Quartier-3,31.22,38.0,483,39,70
2024-12-14T20:46:15.985263Z,Quartier-2,21.19,85.12,3,43,51
2024-12-14T20:46:16.985263Z,Quartier-3,15.06,61.77,82,40,10
2024-12-14T20:46:17.985263Z,Quartier-1,21.17,48.34,54,66,99
2024-12-14T20:46:18.985263Z,Quartier-3,24.57,64.02,183,71,41
2024-12-14T20:46:19.985263Z,Quartier-3,27.15,81.47,179,47,41
2024-12-14T20:46:20.985263Z,Quartier-2,31.59,84.7,34,78,6
2024-12-14T20:46:21.985263Z,Quartier-3,20.45,48.81,386,72,91
2024-12-14T20:46:22.985263Z,Quartier-3,26.4,68.49,204,34,31
2024-12-14T20:46:23.985263Z,Quartier-3,17.87,85.49,324,51,75
2024-12-14T20:46:24.985263Z,Quartier-1,24.39,80.21,301,69,43
2024-12-14T20:46:25.985263Z,Quartier-3,18.81,79.27,460,53,85
2024-12-14T20:46:26.985263Z,Quartier-3,21.22,53.61,65,30,15
2024-12-14T20:46:27.985263Z,Quartier-1,34.26,85.77,77,83,72
2024-12-14T20:46:28.985263Z,Quartier-1,27.65,76.43,82,73,9
2024-12-14T20:46:29.985263Z,Quartier-1,21.71,50.27,307,35,98
2024-12-14T20:46:30.985263Z,Quartier-3,28.85,43.0,345,77,0
2024-12-14T20:46:31.985263Z,Quartier-2,21.63,30.99,421,43,28
2024-12-14T20:46:32.985263Z,Quartier-2,22.6,38.77,44,79,93
2024-12-14T20:46:33.985263Z,Quartier-2,18.51,82.06,403,74,75
2024-12-14T20:46:34.985263Z,Quartier-1,21.67,77.51,350,94,0
2024-12-14T20:46:35.985263Z,Quartier-3,28.7,87.09,229,53,86
2024-12-14T20:46:36.985263Z,Quartier-3,16.83,31.66,189,60,95
2024-12-14T20:46:37.985263Z,Quartier-3,33.38,68.98,195,70,77
2024-12-14T20:46:38.985263Z,Quartier-3,17.15,39.39,83,47,23
2024-12-14T20:46:39.985263Z,Quartier-1,17.03,76.77,384,36,52
2024-12-14T20:46:40.985263Z,Quartier-1,16.45,62.45,318,83,91
